序号,位号,仪表名称,型号,量程,精度等级,安装位置,检定日期,下次检定,状态
1,FT-1201,醋酸进料流量计,E+H Promass F300,0~5000 kg/h,0.2,V-101 进料管线,2026-03-12,2027-03-11,在用
2,PT-1202,反应器压力变送器,Rosemount 3051,0~2.5 MPa,0.075,R-201 顶部,2026-04-08,2027-04-07,在用
3,TT-1203,反应器温度（多点）,WIKA TR10,0~300 ℃,A级,R-201 中部,2026-04-08,2027-04-07,在用
4,LT-1204,中间罐液位,E+H Levelflex FMP51,0~8 m,0.5,T-301 侧壁,2026-05-20,2027-05-19,在用
5,AT-1205,在线分析仪（氧含量）,ABB AZ20,0~25 %O2,1.0,A-401 采样点,2026-06-11,2027-06-10,在用
6,FV-1206,进料调节阀,Fisher 667 + DVC6200,DN80,0.5,V-101 出口,2026-03-12,2027-03-11,在用
7,PSH-1207,高压联锁压力开关,SOR 6NN,1.8 MPa 动作,1.5,R-201 顶部,2026-04-08,2027-04-07,在用
8,TE-1208,夹套温度元件,Pt100 三线制,0~200 ℃,B级,R-201 夹套,2026-04-08,2027-04-07,备用
9,FT-1209,循环水流量计,KROHNE OPTIFLUX 2300,0~200 m³/h,0.5,P-501 出口,2026-07-02,2027-07-01,在用
10,LT-1210,成品罐液位,VEGAPULS 6X,0~12 m,0.3,T-601 顶部,2026-07-02,2027-07-01,在用
11,DT-1211,可燃气体探测器,Honeywell Sensepoint XCD,0~100 %LEL,3,压缩机房,2026-08-15,2027-02-14,在用
12,PI-1212,就地压力表,Y-100 径向,0~1.6 MPa,1.6,泵出口就地,2026-08-15,2027-02-14,在用
